run,version,sample_id,parse_level,schema_ok,职位名称,最低薪资,最高薪资,薪资周期,工作地点,硬技能,软技能,学历要求,经验要求,AI相关技术栈要求
run2,v3,J17,strict,True,理财经理/团队经理,,,,,证券分析 | 证券经纪 | 客户开发 | 理财咨询 | 投资建议 | 资产配置 | 客户关系维护 | 证券从业资格,,,,
run2,v3,J19,strict,True,财富管理顾问,15000元,30000元,月,,对高净值客户销售 | 证券从业资格 | 基金从业资格 | 客户适当性管理 | 客户开发 | 外部渠道合作 | 融资融券 | 个股期权 | 港股通 | 约定购回 | 客户资产归集 | 客户转介绍,,,,
run3,v1,J01,text,False,AI实习生,,,,信息中未说明,数据标注 | 数据整理 | 初步数据分析 | 数据分析工具使用 | WPS办公软件 | 文档编辑 | 数据统计,跨部门沟通协作 | 问题发现与解决 | 学习能力 | 严谨负责 | 注重细节 | 积极主动 | 团队合作,全日制本科及以上在读，专业不限,有问答质检、内容审核实习经验或AI项目经历者优先,数据标注 | 模型优化等AI项目相关工作 | 未指定具体框架
run3,v1,J03,text,False,数据AI工程师,,,,,Python | Java | C | SQL | Hadoop | Linux | 算法设计 | 推荐算法 | 数据分析 | 机器学习 | 数据清洗 | 数据挖掘 | 特征分析 | 分布式平台,分析解决问题能力 | 沟通能力 | 团队合作精神,本科（985/211）及以上，计算机或相关专业,3年以上,机器学习 | 推荐算法 | 大数据机器学习平台
run3,v1,J04,text,False,算法工程师（机器学习、大模型方向）,,,,,Python | Java | C | C++ | SQL | Spark | Hadoop | Hive | TensorFlow | PyTorch | Mxnet | 机器学习 | 深度学习 | NLP | 语音算法 | 推荐算法 | 风控算法 | 大模型算法 | 模型加速 | 性能优化 | 算法工程化 | 分布式算法 | 数学基础,沟通协作能力 | 抗压能力,本科及以上，1年及以上工作经验,1年及以上,大模型 | 深度学习 | 机器学习 | NLP | CV | 多模态 | TensorFlow | PyTorch | Mxnet | 数据挖掘
run3,v1,J06,text,False,Java（Java开发工程师）,,,,北京海淀,Java | Spring | SpringBoot | SpringCloud | SSM | SSH | Hibernate | MyBatis | Struts | JSP | Maven | Oracle | MySQL | TiDB | Redis | 多线程 | JS | jQuery | IDEA | Eclipse | Tomcat | Linux | Git | SVN | 设计模式 | IO | 集合,沟通能力 | 独立完成工作能力 | 责任心,统招全日制本科,3年以上,AI大模型
run3,v1,J09,text,False,高级前端开发工程师,,,,,JavaScript | Vue | HTML5 | Oracle | 小程序开发 | Web前端开发 | W3C标准 | webpack | 前端工程化与模块化 | 前后端分离,对技术有热情 | 团队合作精神,全日制大学本科及以上，计算机及相关专业,5年以上web前端开发经验,
run3,v1,J13,text,False,Java工程师,,,,,Java | SQL | Spring | SpringMVC | Dubbo | Struts | 分布式技术 | 服务器配置 | SQL Server | Oracle | DB2 | MySQL | Tomcat | JBOSS | Weblogic | WebSphere,,统招本科及以上，计算机软件相关专业,,
run3,v1,J17,text,False,理财经理/团队经理,,,,,证券分析 | 证券经纪 | 客户开发 | 理财咨询 | 投资建议 | 资产配置 | 客户关系维护 | 证券从业资格,,,,
run3,v1,J19,text,False,财富管理顾问,15000元,30000元,月,,对高净值客户销售 | 客户适当性管理 | 客户开发 | 外部渠道合作 | 融资融券 | 个股期权 | 港股通 | 约定购回 | 证券从业资格 | 基金从业资格 | 客户资产归集 | 客户转介绍,,,,
run3,v2,J01,strict,True,AI实习生,,,,,数据标注 | 数据整理 | 数据分析 | 数据分析工具 | WPS | 办公软件 | 文档编辑 | 数据统计,跨部门沟通与协作 | 问题发现、分析和解决能力 | 学习能力 | 工作严谨负责 | 注重细节 | 积极主动 | 团队合作精神 | 沟通意愿,全日制本科及以上学历在读,有问答质检、内容审核等实习经验或AI项目实施经历者优先,AI项目实施 | 模型优化
run3,v2,J03,strict,True,数据AI工程师,,,,,Python | 算法设计 | Java | SQL | 推荐算法 | 数据分析 | Hadoop | Linux | C | 机器学习 | 数据抓取 | 数据清洗 | 数据挖掘 | 特征分析 | 大数据分布式平台,分析解决问题能力 | 沟通能力 | 团队合作精神,本科（985或211）及以上,3年以上机器学习相关工作经验,机器学习 | 推荐算法 | 算法设计
run3,v2,J04,strict,True,算法工程师（机器学习、大模型方向）,,,,,语音算法 | Java | 深度学习 | 大模型算法 | 自然语言处理算法 | Spark | Hadoop | Hive | 算法工程化经验 | 风控算法 | 推荐算法 | SQL | C/C++ | 机器学习 | 模型加速/性能优化 | Python | Tensorflow | Pytorch | Mxnet | 分布式算法 | 数据挖掘 | 数学基础,,本科及以上,1年及以上,深度学习 | 机器学习 | 大模型 | CV | NLP | 多模态 | Tensorflow | Pytorch | Mxnet | 语音算法 | 推荐算法 | 风控算法 | 数据挖掘 | 语义理解 | 情感分析
run3,v2,J06,strict,True,Java,,,,海淀,Java | Hibernate | SpringCloud | MySQL | 多线程 | MyBatis | Redis | SSH | SpringBoot | Spring | Oracle | SSM | js | jquery | idea | eclipse | tomcat | linux | tidb | maven | struts | jsp | Git | SVN | 设计模式 | io | 集合,主动沟通反馈 | 独立完成工作的能力,统招全日制本科（学信网可查）,3年以上,ai大模型
run3,v2,J09,strict,True,高级前端开发工程师,,,,,前端开发 | 小程序 | Vue | Web端 | Oracle | JavaScript | HTML5 | W3C标准 | webpack | 前端工程化 | 模块化 | 前后端分离,对技术有热情 | 团队合作精神,全日制大学本科及以上,5年以上web前端开发经验（本科毕业8年及以上）,
run3,v2,J13,strict,True,Java工程师,,,,,服务器配置 | Java | SQL | 分布式技术 | Spring | SpringMVC | Dubbo | Struts | SQL SERVER | Oracle | DB2 | MYSQL | Tomcat | JBOSS | Weblogic | Web Sphere | 单元测试 | 编码规范,,统招本科及以上,,
run3,v2,J17,strict,True,理财经理/团队经理,,,,,证券分析 | 证券经纪 | 客户开发 | 理财咨询 | 投资建议 | 资产配置 | 客户关系维护 | 证券从业资格,客户服务能力,,通过证券从业资格考试者优先,
run3,v2,J19,strict,True,财富管理顾问,15000元,30000元,月,,对高净值客户销售 | 证券从业资格 | 基金从业资格 | 客户适当性管理 | 客户开发 | 外部渠道合作 | 融资融券 | 个股期权 | 港股通 | 约定购回 | 客户资产归集 | 客户转介绍 | 金融产品,,,,
run3,v3,J01,strict,True,AI实习生,,,,,数据标注 | 数据整理 | 数据分析 | 数据分析工具 | WPS | 办公软件 | 文档编辑 | 数据统计,跨部门沟通与协作 | 问题发现、分析和解决能力 | 学习能力 | 工作严谨负责 | 注重细节 | 积极主动 | 团队合作精神,全日制本科及以上学历在读,,
run3,v3,J03,strict,True,数据AI工程师,,,,,Python | 算法设计 | Java | SQL | 推荐算法 | 数据分析 | Hadoop | Linux | C | 机器学习 | 数据抓取 | 数据清洗 | 数据挖掘 | 特征分析 | 大数据分布式平台 | 分布式系统架构,分析解决问题能力 | 沟通能力 | 团队合作精神,本科（985或211）及以上,3年以上,机器学习 | 推荐算法
run3,v3,J04,strict,True,算法工程师（机器学习、大模型方向）,,,,,语音算法 | Java | 深度学习 | 大模型算法 | 自然语言处理 | Spark | Hadoop | Hive | 算法工程化 | 风控算法 | 推荐算法 | SQL | C/C++ | 机器学习 | 模型加速/性能优化 | Python | Tensorflow | Pytorch | Mxnet | 分布式算法 | 数据挖掘 | 数学基础,,本科及以上,1年及以上,大模型 | 深度学习 | 机器学习 | 自然语言处理 | CV | 多模态 | Tensorflow | Pytorch | Mxnet | 语音算法 | 推荐算法 | 风控算法 | 数据挖掘
run3,v3,J06,strict,True,Java,,,,海淀,Java | Hibernate | SpringCloud | MySQL | 多线程 | MyBatis | Redis | SSH | SpringBoot | Spring | Oracle | SSM | js | jquery | idea | eclipse | tomcat | linux | tidb | maven | struts | jsp | Git | SVN | 设计模式 | io | 集合,主动沟通反馈 | 独立完成工作的能力,统招全日制（学信网可查）,3年以上,ai大模型
run3,v3,J09,strict,True,高级前端开发工程师,,,,,前端开发 | 小程序 | Vue | Web端 | Oracle | JavaScript | HTML5 | W3C标准 | webpack | 前端工程化 | 模块化 | 前后端分离,对技术有热情 | 团队合作精神,全日制大学本科及以上,5年以上,
run3,v3,J13,strict,True,Java工程师,,,,,服务器配置 | Java | SQL | 分布式技术 | Spring | SpringMVC | Dubbo | Struts | SQL SERVER | Oracle | DB2 | MYSQL | Tomcat | JBOSS | Weblogic | Web Sphere | 单元测试,,统招本科及以上,,
run3,v3,J17,strict,True,理财经理/团队经理,,,,,证券分析 | 证券经纪 | 客户开发 | 理财咨询 | 投资建议 | 资产配置 | 客户关系维护 | 证券从业资格,,,,
run3,v3,J19,strict,True,财富管理顾问,15000元,30000元,月,,对高净值客户销售 | 证券从业资格 | 基金从业资格 | 客户适当性管理 | 客户开发 | 外部渠道合作 | 融资融券 | 个股期权 | 港股通 | 约定购回 | 客户资产归集 | 客户转介绍,,,,
