source,target,rel,weight,evidence,conf,quote,section,page
603927.SH,TECH_LLM,USES_TECH,0.16,1,LOW,在AI 应用落地端，公司帮助行业客户跨越垂直领域AI 与业务场景相结合的“最后一公里”，在高质量数据集建设、认知管理模型/本体、领域知识库建设、提示词工程、上下文工程、垂域模型训练等多项环节发力，实现AI 技术与业务流的,业务概要,1.0
688318.SH,PRODUCT_CUSTOMER,OFFERS_PRODUCT,0.594,1,HIGH,公司提供产品和服务内容主要包括：为证券公司等经营机构提供证券行情交易系列软件、金融数据、智能客服等产品及服务；为互联网用户提供证券信息服务、云同步服务、云计算服务、分析工具、深度数据挖掘、投资交流服务等。,核心竞争力,6.0
688318.SH,PRODUCT_FRAUD,OFFERS_PRODUCT,0.515,1,MEDIUM,基于大数据和AI 平台的智能风控技术，公司产品实现了证券业务实时反欺诈功能。,核心竞争力,8.0
688318.SH,PRODUCT_INVEST,OFFERS_PRODUCT,0.638,3,LOW,智能体（AI Agent）技术的应用进一步催化了服务范式的转型，通过对金融数据和信息的自动化处理、智能分析，大幅提高了投研、风控和客户服务的质量与效率，能够帮助金融机构应对市场变化，优化和提升服务的广度、深度与温度。,业务概要,3.0
688318.SH,TECH_LLM,USES_TECH,2.031,4,HIGH,"报告期内，公司在人工智能项目产品功能拓展、平台生态构建和核心技术升级方面取得了重大突破，成功推动了""问小达""从智能问答助手向证券智能体的进化，通过RAG 持续迭代，优化提示词工程及构建知识库，显著提升了数据信息生成的准确",核心竞争力,9.0
688318.SH,TECH_ML,USES_TECH,0.141,1,LOW,深度学习带来的科技革命将产生巨大的经济价值，技术革新为互联网金融信息服务企业通过掌握前沿科技获得持续竞争优势提供了重要支持。,业务概要,3.0
688318.SH,TECH_NLP,USES_TECH,0.462,1,MEDIUM,8人工智能公司人工智能技术研发主要集中在资讯数据清洗和提取技术、智能写手、智能金融问答、自然语言处理、智能体、MCP 服务等方面，并将其应用于公技术司证券行情交易系统软件产品中。,核心竞争力,8.0
688318.SH,TECH_RL,USES_TECH,0.479,1,MEDIUM,针对证券市场的行情大数据现状，公司基于云平台的基础设施，整合大数据计算、统计分析等组件技术，使用大模型基座，强化学习技术，通过自主完成任务的智能体，高效地完成了信息生成、市场研究、风险监控等任务。,核心竞争力,8.0
688590.SH,PRODUCT_CUSTOMER,OFFERS_PRODUCT,0.141,1,LOW,针对企业端，新知大模型提供精准的文档自动生成、智能客服互动、合规风控审查等服务，助力企业提升运营效率与智能决策能力。,核心竞争力,14.0
688590.SH,PRODUCT_FRAUD,OFFERS_PRODUCT,0.477,1,MEDIUM,"帮助金融机构应对日益严格的监管走完成反洗钱数据规通过自动化规则筛查主反洗钱国内访，提升反洗钱数则检查、问题数据动发现并定位客户、账数字化行业据质量自查能力；10 1,500.00 1,104.17 1,104.17发现、",核心竞争力,18.0
688590.SH,PRODUCT_INSURANCE,OFFERS_PRODUCT,0.889,2,MEDIUM,未来基于汽车险知识库，并通过大模型训练出的保险人工智能产品将应用于保险反欺诈、保险理赔定价、二手车交易、保费定价等领域，带来保险行业效率提升并产生新的商业模式。,核心竞争力,13.0
688590.SH,TECH_CV,USES_TECH,0.602,2,LOW,AI 技术领域，针对大语言模型（LLM）、多模态模型、OCR 识别优化、文本转语音（TTS）以及语音识别（ASR）等技术深度优化，建立起业内领先的技术优势。,核心竞争力,14.0
688590.SH,TECH_DECISION,USES_TECH,0.335,1,MEDIUM,针对企业端，新知大模型提供精准的文档自动生成、智能客服互动、合规风控审查等服务，助力企业提升运营效率与智能决策能力。,核心竞争力,14.0
688590.SH,TECH_LLM,USES_TECH,3.884,10,MEDIUM,报告期内，公司发布最新AI 产品技术体系，依托“知识库”、“大模型”和“智能体（Agent）”技术，将“新致新知人工智能平台”赋能各行业营销和知识流程两大领域。,核心竞争力,12.0
688590.SH,TECH_PRIVACY,USES_TECH,0.515,1,MEDIUM,具备完善的数据治理体系和隐私计算技术的企业将占据优势。,业务概要,3.0
688590.SH,TECH_RL,USES_TECH,0.427,1,MEDIUM,模型运用前沿强化学习算法优化，显著提升推理准确性和响应速度。,核心竞争力,13.0
688590.SH,TECH_SPEECH,USES_TECH,0.485,1,MEDIUM,AI 技术领域，针对大语言模型（LLM）、多模态模型、OCR 识别优化、文本转语音（TTS）以及语音识别（ASR）等技术深度优化，建立起业内领先的技术优势。,核心竞争力,14.0
TECH_LLM,APP_INTERNAL,ENABLES,2.0,2,,,,
TECH_LLM,PRODUCT_CUSTOMER,ENABLES,10.0,10,,,,
TECH_LLM,PRODUCT_INVEST,ENABLES,12.0,12,,,,
TECH_NLP,PRODUCT_CREDIT,ENABLES,1.0,1,,,,
TECH_CV,PRODUCT_INVEST,ENABLES,1.0,1,,,,
TECH_CV,PRODUCT_CUSTOMER,ENABLES,1.0,1,,,,
TECH_LLM,PRODUCT_CREDIT,ENABLES,4.0,4,,,,
TECH_DECISION,PRODUCT_FINANCE,ENABLES,1.0,1,,,,
TECH_ML,PRODUCT_FINANCE,ENABLES,1.0,1,,,,
TECH_DECISION,PRODUCT_CREDIT,ENABLES,1.0,1,,,,
TECH_DECISION,PRODUCT_CUSTOMER,ENABLES,1.0,1,,,,
TECH_LLM,KW::大模型,EVIDENCED_BY,31.0,174,,,,
TECH_LLM,KW::智能体,EVIDENCED_BY,18.0,97,,,,
TECH_DECISION,KW::智能风控,EVIDENCED_BY,10.0,13,,,,
AI_ENGINEERING,KW::算力,EVIDENCED_BY,9.0,22,,,,
TECH_LLM,KW::RAG,EVIDENCED_BY,8.0,8,,,,
PRODUCT_CUSTOMER,KW::智能营销,EVIDENCED_BY,8.0,14,,,,
PRODUCT_INVEST,KW::财富管理,EVIDENCED_BY,8.0,10,,,,
PRODUCT_CREDIT,KW::信贷,EVIDENCED_BY,7.0,12,,,,
PRODUCT_CUSTOMER,KW::智能客服,EVIDENCED_BY,7.0,8,,,,
PRODUCT_CUSTOMER,KW::智能问答,EVIDENCED_BY,7.0,13,,,,
PRODUCT_CUSTOMER,KW::数字人,EVIDENCED_BY,7.0,9,,,,
TECH_ML,KW::机器学习,EVIDENCED_BY,6.0,9,,,,
TECH_LLM,KW::AI Agent,EVIDENCED_BY,6.0,14,,,,
AI_ENGINEERING,KW::模型训练,EVIDENCED_BY,6.0,12,,,,
TECH_DECISION,KW::智能决策,EVIDENCED_BY,6.0,7,,,,
APP_INTERNAL,KW::智能运维,EVIDENCED_BY,6.0,8,,,,
TECH_NLP,KW::自然语言处理,EVIDENCED_BY,5.0,6,,,,
PRODUCT_FRAUD,KW::反欺诈,EVIDENCED_BY,5.0,7,,,,
PRODUCT_PAYMENT,KW::清算,EVIDENCED_BY,5.0,8,,,,
PRODUCT_INVEST,KW::资产配置,EVIDENCED_BY,5.0,11,,,,
TECH_DECISION,KW::规则引擎,EVIDENCED_BY,5.0,6,,,,
TECH_ML,KW::深度学习,EVIDENCED_BY,5.0,5,,,,
TECH_RL,KW::多智能体,EVIDENCED_BY,4.0,7,,,,
TECH_SPEECH,KW::语音识别,EVIDENCED_BY,4.0,5,,,,
TECH_NLP,KW::语义理解,EVIDENCED_BY,4.0,4,,,,
TECH_CV,KW::OCR,EVIDENCED_BY,4.0,8,,,,
PRODUCT_CREDIT,KW::贷后,EVIDENCED_BY,4.0,4,,,,
APP_INTERNAL,KW::代码生成,EVIDENCED_BY,4.0,5,,,,
PRODUCT_FRAUD,KW::反洗钱,EVIDENCED_BY,4.0,4,,,,
PRODUCT_PAYMENT,KW::智能支付,EVIDENCED_BY,4.0,9,,,,
TECH_KG,KW::知识图谱,EVIDENCED_BY,4.0,7,,,,
TECH_PRIVACY,KW::隐私计算,EVIDENCED_BY,3.0,4,,,,
PRODUCT_INVEST,KW::智能投研,EVIDENCED_BY,3.0,4,,,,
APP_INTERNAL,KW::智能审核,EVIDENCED_BY,3.0,8,,,,
TECH_DECISION,KW::决策引擎,EVIDENCED_BY,3.0,3,,,,
TECH_RL,KW::策略优化,EVIDENCED_BY,3.0,3,,,,
TECH_RL,KW::强化学习,EVIDENCED_BY,3.0,4,,,,
TECH_CV,KW::人脸识别,EVIDENCED_BY,3.0,3,,,,
TECH_SPEECH,KW::智能语音,EVIDENCED_BY,3.0,5,,,,
TECH_CV,KW::计算机视觉,EVIDENCED_BY,2.0,3,,,,
APP_INTERNAL,KW::智能办公,EVIDENCED_BY,2.0,4,,,,
PRODUCT_INVEST,KW::智能投顾,EVIDENCED_BY,2.0,6,,,,
PRODUCT_INSURANCE,KW::车险,EVIDENCED_BY,2.0,3,,,,
AI_ENGINEERING,KW::MaaS,EVIDENCED_BY,2.0,4,,,,
AI_ENGINEERING,KW::模型管理,EVIDENCED_BY,2.0,2,,,,
TECH_CV,KW::图像识别,EVIDENCED_BY,2.0,5,,,,
TECH_NLP,KW::语义分析,EVIDENCED_BY,2.0,2,,,,
PRODUCT_PAYMENT,KW::POS,EVIDENCED_BY,2.0,4,,,,
TECH_ML,KW::神经网络,EVIDENCED_BY,1.0,1,,,,
TECH_SPEECH,KW::TTS,EVIDENCED_BY,1.0,2,,,,
TECH_SPEECH,KW::ASR,EVIDENCED_BY,1.0,2,,,,
TECH_NLP,KW::NLP,EVIDENCED_BY,1.0,2,,,,
TECH_RL,KW::深度强化学习,EVIDENCED_BY,1.0,1,,,,
TECH_KG,KW::图数据库,EVIDENCED_BY,1.0,1,,,,
TECH_KG,KW::实体关系,EVIDENCED_BY,1.0,1,,,,
TECH_KG,KW::本体建模,EVIDENCED_BY,1.0,2,,,,
TECH_PRIVACY,KW::数据脱敏,EVIDENCED_BY,1.0,1,,,,
TECH_PRIVACY,KW::可信执行环境,EVIDENCED_BY,1.0,1,,,,
PRODUCT_CREDIT,KW::贷中,EVIDENCED_BY,1.0,1,,,,
PRODUCT_CREDIT,KW::贷前,EVIDENCED_BY,1.0,1,,,,
PRODUCT_INSURANCE,KW::寿险,EVIDENCED_BY,1.0,3,,,,
PRODUCT_PAYMENT,KW::聚合支付,EVIDENCED_BY,1.0,1,,,,
PRODUCT_FRAUD,KW::黑名单,EVIDENCED_BY,1.0,1,,,,
PRODUCT_FRAUD,KW::合规监测,EVIDENCED_BY,1.0,1,,,,
PRODUCT_FINANCE,KW::财务共享,EVIDENCED_BY,1.0,4,,,,
PRODUCT_FINANCE,KW::智能财务,EVIDENCED_BY,1.0,2,,,,
