ts_code,name,industry,final_fintech_related,final_confidence,final_tracks,evidence_source,consistency_note,round1_fintech_related,round1_confidence,round1_tracks,round1_reason,round2_fintech_related,round2_confidence,round2_tracks,is_pseudo_fintech_false_positive,recommend_manual_review,recheck_trigger,manual_review_conclusion,manual_review_note
000750.SZ,国海证券,未提供（未出现在第一轮主营业务文件中）,TRUE,65,人工智能与大模型、数字化渠道与开放银行、科技投入与组织建设、智能风控与反欺诈、数据平台与数据治理、其他金融科技,第二轮复核-年报层面,第一轮文件中未见该公司（可能经金融机构年报通道直接进入复核）,,,,,TRUE,65,人工智能与大模型、数字化渠道与开放银行、科技投入与组织建设、智能风控与反欺诈、数据平台与数据治理、其他金融科技,FALSE,FALSE,低置信度,,
002537.SZ,海联金汇,汽车配件,TRUE,65,支付清算与数字人民币、数字化渠道与开放银行、科技投入与组织建设,第二轮复核-年报层面,结论一致,TRUE,75,支付科技,主营业务包含'金融科技服务'和'第三方支付业务'，直接表明从事金融科技中的支付科技，但无AI技术证据，且未披露具体产品细节。,TRUE,65,支付清算与数字人民币、数字化渠道与开放银行、科技投入与组织建设,FALSE,TRUE,非持牌金融相关主体,人工复核确认相关,第二轮复核已标记为recommend_manual_review=True，经人工复核后确认结论有效，予以保留
002647.SZ,仁东控股,未提供（未出现在第一轮主营业务文件中）,TRUE,60,支付清算与数字人民币、人工智能与大模型,第二轮复核-年报层面,第一轮文件中未见该公司（可能经金融机构年报通道直接进入复核）,,,,,TRUE,60,支付清算与数字人民币、人工智能与大模型,FALSE,FALSE,非持牌金融相关主体,,
002936.SZ,郑州银行,未提供（未出现在第一轮主营业务文件中）,TRUE,60,人工智能与大模型、智能风控与反欺诈、数字化渠道与开放银行、科技投入与组织建设,第二轮复核-年报层面,第一轮文件中未见该公司（可能经金融机构年报通道直接进入复核）,,,,,TRUE,60,人工智能与大模型、智能风控与反欺诈、数字化渠道与开放银行、科技投入与组织建设,FALSE,FALSE,低置信度,,
600446.SH,金证股份,软件服务,TRUE,60,人工智能与大模型、智能风控与反欺诈、数字化渠道与开放银行、数据平台与数据治理、云计算与技术基础设施、智能投顾与财富管理、支付清算与数字人民币、监管科技与合规、证券科技,第二轮复核-年报层面,结论一致,TRUE,75,证券IT、银行IT、财富管理科技,主营业务明确包含证券、银行、资管等金融专用软件业务，属于金融科技赛道；但输入没有AI相关证据，且部分业务如IT设备分销、科技园租赁非金融科技，但重要性较低。,TRUE,60,人工智能与大模型、智能风控与反欺诈、数字化渠道与开放银行、数据平台与数据治理、云计算与技术基础设施、智能投顾与财富管理、支付清算与数字人民币、监管科技与合规、证券科技,FALSE,FALSE,非持牌金融相关主体,,
601136.SH,首创证券,未提供（未出现在第一轮主营业务文件中）,TRUE,60,人工智能与大模型、数字化渠道与开放银行、数据平台与数据治理、科技投入与组织建设、智能投顾与财富管理、监管科技与合规,第二轮复核-年报层面,第一轮文件中未见该公司（可能经金融机构年报通道直接进入复核）,,,,,TRUE,60,人工智能与大模型、数字化渠道与开放银行、数据平台与数据治理、科技投入与组织建设、智能投顾与财富管理、监管科技与合规,FALSE,FALSE,低置信度,,
601456.SH,国联民生,未提供（未出现在第一轮主营业务文件中）,TRUE,60,人工智能与大模型、智能风控与反欺诈、科技投入与组织建设、其他金融科技,第二轮复核-年报层面,第一轮文件中未见该公司（可能经金融机构年报通道直接进入复核）,,,,,TRUE,60,人工智能与大模型、智能风控与反欺诈、科技投入与组织建设、其他金融科技,FALSE,TRUE,低置信度,人工复核确认相关,第二轮复核已标记为recommend_manual_review=True，经人工复核后确认结论有效，予以保留
002839.SZ,张家港行,未提供（未出现在第一轮主营业务文件中）,TRUE,55,数字化渠道与开放银行、数据平台与数据治理、支付清算与数字人民币、科技投入与组织建设、其他金融科技,第二轮复核-年报层面,第一轮文件中未见该公司（可能经金融机构年报通道直接进入复核）,,,,,TRUE,55,数字化渠道与开放银行、数据平台与数据治理、支付清算与数字人民币、科技投入与组织建设、其他金融科技,FALSE,TRUE,低置信度,人工复核确认相关,第二轮复核已标记为recommend_manual_review=True，经人工复核后确认结论有效，予以保留
600864.SH,哈投股份,未提供（未出现在第一轮主营业务文件中）,TRUE,45,人工智能与大模型、数字化渠道与开放银行,第二轮复核-年报层面,第一轮文件中未见该公司（可能经金融机构年报通道直接进入复核）,,,,,TRUE,45,人工智能与大模型、数字化渠道与开放银行,FALSE,TRUE,低置信度,人工复核确认相关,第二轮复核已标记为recommend_manual_review=True，经人工复核后确认结论有效，予以保留
300079.SZ,数码视讯,,TRUE,,,人工复核新增（推翻第二轮复核的自动化排除结论）,第二轮复核（company_level_only）原判定为不相关（confidence=20，疑似伪金融科技=True），经人工复核认定实际与金融科技相关，予以人工推翻并纳入,,,,,False,20,,True,True,低置信度,人工复核确认相关（推翻自动化排除结论）,用户人工审阅年报/公开信息后确认该公司应纳入金融科技公司名单
